,Unnamed: 0,LATITUDE,LONGITUDE,MAF_NAME,BLKID
263167,123972,39.6752903,-105.03311486,S King St,80310046034013
296671,200498,39.644960499999996,-104.90940954,S Magnolia Way,80310068091006
69240,52033,39.76398533,-105.02903144,W Fairview Pl,80310003032002
162492,164932,39.71911506,-104.91605156,N Krameria St,80310043063005
292907,116888,39.7780872,-104.95223876,N Milwaukee St,80310035005014
61351,85846,39.74848996,-104.99761486,Larimer St,80310017015004
97535,193465,39.75363621,-104.96436948,N High St,80310023003003
251292,173798,39.79502136,-104.82222868,N Blackhawk Way,80310083052006
189404,172949,39.63070824,-105.10078031,S Gar Way,80310120142012
24501,300267,39.74396148,-104.9656767,N Williams St,80310031021018
147588,68461,39.70647962,-104.88324257,E Center Ave,80310070893003
176789,179860,39.77351828,-104.75724143,E 41st Pl,80310083902014
191518,17249,39.72854771,-104.89911331,E Severn Dr,80310044054020
175529,92489,39.78880385,-104.84659679,E Beekman Pl,80310083061005
115571,81159,39.68426098,-104.94193275,S Harrison St,80310039022032
233446,58776,39.63452557,-104.88563644,S Yosemite St,80310068041014
240123,63604,39.69219113,-104.89696405,S Quebec Way,80310070132005
83580,158478,39.76660746,-104.96254864,N Vine St,80310036012003
10944,279153,39.62981304,-104.90103285,E Technology Way,80310068041051
313570,281457,39.65462516,-104.91726937,E Girard Pl,80310068123010
42351,99295,39.76610902,-104.95564063,N Elizabeth St,80310036025007
147856,188730,39.72035621,-104.90841578,N Oneida St,80310043064023
305546,302679,39.67915042,-104.9315781,S Dahlia St,80310051024008
60392,245128,39.76060681,-105.00850496,Boulder St,80310011023022
104377,207285,39.74958665,-104.96369979,N Race St,80310031011003
3164,314459,39.74619833,-104.99690603,15th St,80310017022002
202716,181739,39.78006359,-105.03728431,N Newton St,80310001022016
126159,27245,39.70088639,-105.0468477,Morrison Rd,80310045033009
223909,37160,39.76410738,-104.88909199999999,N Wabash St,80310041061114
276874,103789,39.66294753,-104.95533221,S Clayton St,80310040023011
112700,315549,39.72636851,-104.97910928,N Washington St,80310028011005
73031,219259,39.73450459,-104.96259551,N Vine St,80310032022007
225873,38293,39.69758905,-104.88744816,E Mississippi Ave,80310070884008
85229,71292,39.73429758,-104.97100228,N Lafayette St,80310032013004
121699,172665,39.69982791,-105.04290258,S Raleigh St,80310045031003
162784,42720,39.69546698,-104.91309732,S Monaco Street Pkwy,80310050011033
239677,69159,39.61895979,-105.0640646,S Jay Cir,80310120101022
239247,313800,39.63699342,-104.90082513,S Quebec St,80310068095009
196889,31758,39.75663335,-104.89981384,N Syracuse St,80310041071135
62587,184853,39.77085239,-105.00335654,N Mariposa St,80310011011004
80014,5894,39.73829456,-104.97462242,E 14th Ave,80310027031010
54520,104898,39.78231755,-104.98382312,N Grant St,80310015002028
294511,176249,39.66599957,-105.02953563,S Irving St,80310157001004
78713,153830,39.76564034,-105.04083004,N Quitman St,80310003021010
50339,92277,39.7650443,-104.95700532,N Columbine St,80310036025009
139461,287941,39.6987369,-104.98835299,W Tennessee Ave,80310021003099
30177,88728,39.77346715,-105.04961121,N Xavier St,80310003015009
15280,92022,39.76313172,-104.96674931,E 33rd Ave,80310036013018
43567,209520,39.77955607,-105.02428331,N Eliot St,80310002023007
